City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hithadhoo,-0.6,73.0833,28.34,75,96,5.41,MV,1706942705
1,wetaskiwin,52.9668,-113.3687,1.12,90,100,2.46,CA,1706942705
2,kerikeri,-35.2268,173.9474,20.51,65,0,1.34,NZ,1706942705
3,vorkuta,67.5,64.0,-13.83,88,100,5.2,RU,1706942705
4,mahina,-17.5065,-149.489,27.87,69,20,1.03,PF,1706942706
5,nguigmi,14.2495,13.1092,16.07,22,3,6.83,NE,1706942706
6,puerto ayora,-0.7393,-90.3518,25.15,89,41,3.94,EC,1706942706
7,oriximina,-1.7656,-55.8661,22.86,95,100,1.91,BR,1706942707
8,georgetown,5.4112,100.3354,31.96,70,20,5.14,MY,1706942683
9,constantia,44.1833,28.65,0.39,82,50,6.49,RO,1706942707
10,lihue,21.9789,-159.3672,21.58,58,75,12.35,US,1706942707
11,san felipe,10.3399,-68.7425,22.93,98,100,1.19,VE,1706942708
12,kachug,53.9606,105.8817,-14.97,89,28,0.89,RU,1706942708
13,kodiak,57.79,-152.4072,-6.27,86,100,4.12,US,1706942708
14,zhangjiakou shi xuanhua qu,40.6103,115.0447,-2.14,48,0,2.07,CN,1706942708
15,hengchun,22.0042,120.7439,25.14,73,76,6.05,TW,1706942708
16,port-aux-francais,-49.35,70.2167,7.44,90,95,5.82,TF,1706942709
17,avarua,-21.2078,-159.775,25.03,94,75,3.09,CK,1706942709
18,grytviken,-54.2811,-36.5092,7.82,89,100,5.05,GS,1706942709
19,lebu,-37.6167,-73.65,14.76,94,21,6.06,CL,1706942710
20,san sebastian de la gomera,28.0916,-17.1133,18.2,31,0,0.0,ES,1706942710
21,blackmans bay,-43.0167,147.3167,27.07,54,5,5.32,AU,1706942710
22,atafu village,-8.5421,-172.5159,29.38,73,100,4.1,TK,1706942710
23,punta arenas,-53.15,-70.9167,4.06,75,75,4.12,CL,1706942711
24,malvan,16.0667,73.4667,29.57,45,89,4.13,IN,1706942711
25,port lincoln,-34.7333,135.8667,26.52,47,0,3.76,AU,1706942711
26,bandarbeyla,9.4942,50.8122,27.42,63,81,4.48,SO,1706942711
27,albany,42.6001,-73.9662,-1.77,79,61,0.45,US,1706942601
28,afaahiti,-17.75,-149.2833,26.93,71,39,3.55,PF,1706942712
29,vadso,70.0744,29.7487,-4.91,93,100,5.66,NO,1706942712
30,kuusamo,65.9667,29.1833,-6.98,93,100,5.66,FI,1706942713
31,tosontsengel,48.7567,98.2839,-13.14,68,100,0.37,MN,1706942713
32,crane,31.3974,-102.3501,11.98,41,0,9.49,US,1706942713
33,anadyr,64.75,177.4833,-16.72,60,100,14.0,RU,1706942713
34,bilibino,68.0546,166.4372,-24.25,83,7,3.45,RU,1706942714
35,fort bragg,35.139,-79.006,7.67,67,0,2.57,US,1706942714
36,adamstown,-25.066,-130.1015,24.7,83,36,3.61,PN,1706942714
37,sorong,-0.8833,131.25,28.77,76,15,6.19,ID,1706942714
38,ixtapa,20.7,-105.2,17.69,88,3,1.37,MX,1706942714
39,touros,-5.1989,-35.4608,25.76,84,100,4.42,BR,1706942715
40,pago pago,-14.2781,-170.7025,28.55,89,100,4.12,AS,1706942715
41,saipan,15.1355,145.701,28.39,61,20,8.75,MP,1706942715
42,rio de janeiro,-22.9028,-43.2075,23.98,88,40,2.06,BR,1706942449
43,vila franca do campo,37.7167,-25.4333,16.23,90,20,4.33,PT,1706942716
44,ilulissat,69.2167,-51.1,-21.99,54,40,4.12,GL,1706942716
45,tiksi,71.6872,128.8694,-26.98,100,100,1.05,RU,1706942716
46,tura,25.5198,90.2201,22.95,24,0,3.57,IN,1706942717
47,thompson,55.7435,-97.8558,-2.91,100,100,0.0,CA,1706942539
48,dunedin,-45.8742,170.5036,15.45,55,6,6.26,NZ,1706942717
49,ushuaia,-54.8,-68.3,3.81,93,100,1.54,AR,1706942717
50,badger,64.8,-147.5333,-38.13,68,0,0.0,US,1706942717
51,keflavik,64.0049,-22.5624,-1.05,64,75,15.43,IS,1706942718
52,nazareno,25.3833,-103.4167,14.86,43,0,4.16,MX,1706942718
